geoid,year,measure,value,moe,region_type
11001000502,2019,gender_total_count_geo20,3396.0,,tract
11001000903,2019,gender_total_count_geo20,7270.0,,tract
11001000904,2019,gender_total_count_geo20,7270.0,,tract
11001001002,2019,gender_total_count_geo20,3428.0,,tract
11001001003,2019,gender_total_count_geo20,7213.0,,tract
11001001004,2019,gender_total_count_geo20,7213.0,,tract
11001001100,2019,gender_total_count_geo20,4823.0,,tract
11001001401,2019,gender_total_count_geo20,3659.0,,tract
11001001402,2019,gender_total_count_geo20,3370.0,,tract
11001001702,2019,gender_total_count_geo20,3482.0,,tract
11001001803,2019,gender_total_count_geo20,4231.0,,tract
11001001901,2019,gender_total_count_geo20,4183.0,,tract
11001001902,2019,gender_total_count_geo20,2544.0,,tract
11001002001,2019,gender_total_count_geo20,3490.0,,tract
11001002101,2019,gender_total_count_geo20,5531.0,,tract
11001002102,2019,gender_total_count_geo20,5660.0,,tract
11001002201,2019,gender_total_count_geo20,3264.0,,tract
11001002501,2019,gender_total_count_geo20,3260.0,,tract
11001002801,2019,gender_total_count_geo20,4048.0,,tract
11001002802,2019,gender_total_count_geo20,5056.0,,tract
11001002900,2019,gender_total_count_geo20,4416.0,,tract
11001003000,2019,gender_total_count_geo20,3732.0,,tract
11001003301,2019,gender_total_count_geo20,4138.0,,tract
11001003302,2019,gender_total_count_geo20,2306.0,,tract
11001003500,2019,gender_total_count_geo20,5053.0,,tract
11001003600,2019,gender_total_count_geo20,4765.0,,tract
11001003701,2019,gender_total_count_geo20,5005.0,,tract
11001003702,2019,gender_total_count_geo20,5005.0,,tract
11001003801,2019,gender_total_count_geo20,5174.0,,tract
11001003802,2019,gender_total_count_geo20,5174.0,,tract
11001004001,2019,gender_total_count_geo20,4628.0,,tract
11001004002,2019,gender_total_count_geo20,3302.0,,tract
11001004201,2019,gender_total_count_geo20,3767.0,,tract
11001004202,2019,gender_total_count_geo20,2376.0,,tract
11001004300,2019,gender_total_count_geo20,4088.0,,tract
11001004401,2019,gender_total_count_geo20,5793.0,,tract
11001004402,2019,gender_total_count_geo20,5793.0,,tract
11001004901,2019,gender_total_count_geo20,3420.0,,tract
11001004902,2019,gender_total_count_geo20,3457.0,,tract
