mdb_id,onestop_id,method
mdb-1,f-dry0-cascobayislandtransitdistrict,url
mdb-4,f-hazleton~public~transit,name_0.82
mdb-5,f-st~lawrence~county~ny,url
mdb-10,f-87z-thebus,url
mdb-11,f-9-amtrak~amtrakcalifornia~amtrakcharteredvehicle,url
mdb-14,f-9mu-northcountytransitdistrict,url
mdb-15,f-9mu-orangecountytransportationauthority,url
mdb-17,f-9my-ycat,url
mdb-19,f-butler~transit~authority~pa,name_0.80
mdb-21,f-9px-cooscounty~or~us,url
mdb-22,f-9px-currypublictransit,url
mdb-23,f-9pz-lincolncounty~or~us,url
mdb-24,f-9pzdp-rhodyexpress~or~us,url
mdb-29,f-9q5-metro~losangeles,url
mdb-30,f-9q5-metro~losangeles~rail,url
mdb-31,f-9q5-govcbus,name_1.00
mdb-32,f-9q54-goldcoasttransit,url
mdb-37,f-9q5c-bigbluebus,url
mdb-38,f-9q5c-culvercitybus,url
mdb-41,f-sarnia~on~ca,name_0.80
mdb-42,f-9q6-kcapta~ca~us,url
mdb-43,f-9q6-sanluisobisporegionaltransitauthority~pasoroblesexpress~so,url
mdb-44,f-9q60w-cityofsanluisobispotransit,url
mdb-46,f-9q7-getbus,url
mdb-47,f-9zv-twin~cities~minnesota,name_0.80
mdb-48,f-orangeville~transit~ca,name_0.84
mdb-49,f-9q8-samtrans,url
mdb-50,f-9q8y-sfmta,url
mdb-52,f-9q8zr-tidelinewatertaxi~ca~us,name_1.00
mdb-53,f-9q9-bart,url
mdb-56,f-9q9-monterey~salinastransit,name_0.89
mdb-57,f-9q9-vta,url
mdb-59,f-9q9h-stanford~marguerite,url
mdb-60,f-9q9hy-mountainview,name_0.94
mdb-63,f-9q9p3-emerygoround,name_1.00
mdb-64,f-9q9q-wheelsbus,url
mdb-67,f-9qb-goldengatetransit,url
mdb-68,f-area~transit~authority~north~central~pa,name_0.80
mdb-69,f-dphg-centralohiotransitauthority,name_0.81
mdb-70,f-9qb-sonomacounty~ca~us,name_0.88
mdb-71,f-milton~on~ca,name_0.81
mdb-72,f-9qbc9-petalumatransit~petaluma~ca~us,name_1.00
mdb-73,f-9qbdx-santarosacitybus,url
mdb-74,f-9qc-capitolcorridor,url
mdb-77,f-9qc0-soltrans~ca~us,name_0.81
mdb-80,f-9qc0-soltrans~ca~us,url
mdb-81,f-9qc3-riovistadeltabreeze,name_1.00
mdb-82,f-9qc7-unitransdavis,url
mdb-83,f-9qcbb-cityofloditransit~grapeline,url
mdb-85,f-9qd-fresnocounty~ca~us,url
mdb-93,f-c3nf-calgarytransit,name_0.81
mdb-95,f-9qfyf-jumparoundcarson,url
mdb-96,f-9qh-metrolinktrains,url
mdb-97,f-9qh-omnitrans,url
mdb-100,f-9qh0-anaheim~ca~us,url
mdb-101,f-9qh1-foothilltransit,url
mdb-108,f-9qj-sunlinetransitagency,url
mdb-110,f-9qqj-rtcsnv,url
mdb-111,f-9qx5-suntran,url
mdb-112,f-9r-peoplemover~or~us,url
mdb-119,f-9qbc9-petalumatransit~petaluma~ca~us,name_0.87
mdb-121,f-9r8-josephinecounty~or~us,url
mdb-125,f-9r92-basin~or~us,url
mdb-126,f-9rb-benton~or~us,url
mdb-127,f-9rb-caravan~or~us,url
mdb-128,f-9rb-cherriots,url
mdb-130,f-9rb-diamondexpress~or~us,url
mdb-131,f-9rb-lanetransitdistrict,url
mdb-132,f-9rb-oregonexpressshuttle,url
mdb-133,f-9rb-pacificcrest~or~us,url
mdb-135,f-9rbm-albanytransit~or~us,url
mdb-137,f-9rbs-linnshuttle~or~us,url
mdb-139,f-9rc-cobreeze~or~us,url
mdb-141,f-9ruf-mcacs~or~us,url
mdb-142,f-9rv2-valleyride,url
mdb-144,f-9t9-suntran,url
mdb-145,f-9t9e-cityofsierravista,url
mdb-148,f-9tsk-sunmetro,url
mdb-149,f-9tvbk-carlsbadmunicipaltransitsystem,url
mdb-150,f-9v6-capitalmetro,url
mdb-151,f-luzerne~county~transit~authority,name_0.81
mdb-152,f-9vg-dallasarearapidtransit,url
mdb-153,f-sarnia~on~ca,name_0.85
mdb-154,f-9vk-metropolitantransitauthorityofharriscounty,url
mdb-157,f-9w-navajotransitsystem,url
mdb-162,f-9mu-orangecountytransportationauthority,name_0.83
mdb-163,f-9wgu-gunnisonvalleyrta,url
mdb-165,f-9wh-riometroregionaltransitdistrict,url
mdb-169,f-9xj-rtd,name_0.91
mdb-170,f-9x0-uta,url
mdb-171,f-9x8-pocatelloregionaltransit,url
mdb-173,f-9xh-ecotransit~co~us,url
mdb-177,f-estestransit~co~us,url
mdb-178,f-9xj-rtd,url
mdb-179,f-9xj-transfortcityoffortcollins,url
mdb-182,f-9y68-clevelandarearapidtransitcart,url
mdb-184,f-9y7v-metropolitantulsatransitauthority,url
mdb-185,f-9ydy-wichitatransit,url
mdb-186,f-9yreb-jet,url
mdb-187,f-9yu-kcata,url
mdb-188,f-9yum-kuonwheels~lawrencetransitsystem,url
mdb-193,f-9zmk-desmoinesarearegionaltransitauthority,url
mdb-196,f-orangeville~transit~ca,name_0.86
mdb-201,f-9zrs-metrorockislandcountymetropolitanmasstransitdistrict,url
mdb-203,f-9q9-bart,name_0.81
mdb-205,f-9zv-twin~cities~minnesota,url
mdb-206,f-9zvw-mvta~metro,url
mdb-207,f-9zx9-thejule,url
mdb-208,f-9zyy-eauclairetransit,url
mdb-209,f-academy~express~staten~island,url
mdb-210,f-acrta~oh~us,url
mdb-211,f-alhambra~ca~us,url
mdb-213,f-amarillo~city~transit,url
mdb-215,f-sarnia~on~ca,name_0.83
mdb-216,f-sarnia~on~ca,name_0.81
mdb-218,f-lebanon~transit~pa~us,name_0.81
mdb-221,f-barta~pa,url
mdb-222,f-baton~rouge~cats,url
mdb-223,f-dpeg-capitalareatransportationauthority,name_0.89
mdb-224,f-bctransit~100~mile~house,name_0.80
mdb-225,f-bdvk-anchoragepeoplemover,url
mdb-227,f-bellflower~ca~us,url
mdb-228,f-bellgardens~ca~us,url
mdb-230,f-9qb-sonomacounty~ca~us,name_0.80
mdb-231,f-bethesdacirculator~md~us,url
mdb-232,f-bew-fairbanksnorthstarborough~macstransit,url
mdb-233,f-birnie~bus,url
mdb-239,f-broome~county~ny~us,url
mdb-240,f-butler~county~rta,url
mdb-241,f-butte~regional~transit,url
mdb-242,f-c0r-pacifictransit,url
mdb-245,f-c2-appleline~goldline~dungenessline~grapeline,url
mdb-246,f-c20-tillamook~or~us,url
mdb-247,f-c20-trimet,url
mdb-250,f-c20-yamhillcounty~or~us,url
mdb-251,f-c208u-woodburn~or~us,url
mdb-252,f-c209-canbytransit~or~us,url
mdb-253,f-c20d-rideconnection~or~us,url
mdb-254,f-c20dz-washingtonparkshuttle~or~us,url
mdb-255,f-c20ep-swanisland~or~us,url
mdb-260,f-c21-hoodriver~or~us,url
mdb-261,f-c214-sandy~or~us,url
mdb-262,f-c215-gorgewet~wa~us,url
mdb-263,f-c22-graysharbortransit,url
mdb-264,f-c22-mason~wa~us,url
mdb-265,f-c22-piercetransit~soundtransit,url
mdb-266,f-c22e-intercitytransit,url
mdb-267,f-c23-metrokingcounty,url
mdb-268,f-c23-soundtransit,url
mdb-269,f-c23n-microsoftshuttles,url
mdb-270,f-c23p1-seattlechildrenshospitalshuttle,url
mdb-271,f-c24-peopleforpeople,url
mdb-273,f-c25p-benfranklintransit,url
mdb-275,f-c26-linktransit~wa~us,url
mdb-276,f-c26-yakimatransit,url
mdb-279,f-c28-clallamtransitsystem,url
mdb-280,f-c28-islandtransit,url
mdb-283,f-c28-washingtonstateferries,url
mdb-284,f-c28-whatcomtransportationauthority,url
mdb-288,f-c290-everetttransit,url
mdb-289,f-c2h-northeast~or~us,url
mdb-290,f-c2kx-spokanetransitauthority,url
mdb-292,f-c2qf-mountainline,url
mdb-299,f-catalina~express,url
mdb-302,f-ceats~ny,url
mdb-303,f-central~transit~wa,url
mdb-304,f-chautauqua~area~regional~transit~system,url
mdb-305,f-chemung~c~tran,url
mdb-306,f-chicagowatertaxi~il~us,url
mdb-310,f-cityofhelena~mt~us,url
mdb-315,f-corpus~christi~regional~transportation~authority,url
mdb-318,f-9q9-bart,name_0.89
mdb-319,f-9w-arizonashuttle~az~us,name_1.00
mdb-320,f-delano~ca~us,url
mdb-321,f-lakeland~passio,url
mdb-323,f-dht-collierareatransit~cat,url
mdb-324,f-dht-leecountytransit,url
mdb-325,f-dhv-hillsborougharearegionaltransit,url
mdb-326,f-dhv-psta,url
mdb-327,f-dhv-sarasotacountyareatransit,url
mdb-328,f-dhvk-manatee~fl~us,url
mdb-329,f-dhvrs-bullrunner,url
mdb-330,f-dhw-browardcountytransit,url
mdb-331,f-dhw-miamidadetransit,url
mdb-332,f-dhx-palmtran,url
mdb-333,f-dhx-tri~rail,url
mdb-339,f-djfq-birminghamjeffersoncountytransitauthority,url
mdb-342,f-djjg-lakecounty,url
mdb-345,f-djm2-regionaltransitsystem,url
mdb-346,f-djmu-jacksonvilletransportationauthority,url
mdb-347,f-djn-centralfloridaregionaltransitauthority,url
mdb-349,f-djn-votran,url
mdb-353,f-dn4m-huntsvilleshuttle,url
mdb-354,f-dn5b-cobbavl,url
mdb-355,f-dn5b-georgiatechtrolley~stingershuttles,url
mdb-357,f-dn5bpr-atlanticstationshuttle,url
mdb-358,f-dn5fv-cherokeeareatransportationsystemcats,url
mdb-359,f-dn5r-carta,url
mdb-360,f-dn6-regionaltransportationauthorityofmiddletennessee~nashville,url
mdb-361,f-area~transit~authority~north~central~pa,name_0.83
mdb-363,f-dnfq-bloomingtontransit,url
mdb-364,f-dng1-transitauthorityofrivercity,url
mdb-365,f-dngb-lextran,url
mdb-366,f-dngy-southwestohioregionaltransitauthority,url
mdb-367,f-dngy-transitauthorityofnorthernkentucky,url
mdb-368,f-dnh-marta,url
mdb-370,f-dnh01-cliffshuttles~emoryuniversity,url
mdb-373,f-dnr-piedmontauthorityforregionaltransportation,url
mdb-375,f-dnrg-cary~transit~nc~us,name_1.00
mdb-376,f-dnru-chapel~hill~transit~nc~us,name_0.86
mdb-379,f-dnwe-pulaski~va~us,url
mdb-380,f-dnwe-radford~va~us,url
mdb-382,f-dnzft-harrisonburghdpt,url
mdb-383,f-downey~ca~us,url
mdb-385,f-dp04-smtd,url
mdb-388,f-dp1h-champaignurbanamasstransitdistrict,url
mdb-390,f-dp3-pace,url
mdb-391,f-dp4j-citybus,url
mdb-394,f-dp8m-metrotransit~cityofmadison,url
mdb-398,f-dpc5-valleytransit,url
mdb-400,f-dpe-therapid,url
mdb-401,f-dpe0-kalamazoometrotransit,url
mdb-402,f-dpeg-capitalareatransportationauthority,url
mdb-403,f-dph4-greaterdaytonrta,url
mdb-404,f-dphg-centralohiotransitauthority,name_0.90
mdb-405,f-dpmf-nps~cuva~scenic~rail,url
mdb-406,f-dpmg-rta,url
mdb-407,f-dpp-mountainlinetransitauthority~wvuprt,url
mdb-408,f-dppc-alleganycountytransit,url
mdb-411,f-dpq-metro,url
mdb-414,f-dps-smart,url
mdb-415,f-dps2-annarborareatransportationauthority,url
mdb-417,f-dpsby4-detroitpeoplemover,url
mdb-421,f-dngy-southwestohioregionaltransitauthority,name_0.80
mdb-429,f-drs-franklinregionaltransitauthority,url
mdb-435,f-drt-baystatecruisecompany~ma~us,url
mdb-437,f-drt-mbta,url
