"FIPS code, 2020","Virginia counties and county-equivalent cities","Number of people in state prison or local jail from each county or city, 2020","Census population, 2020","Total population, 2020","Incarceration rate per 100,000"
51001,"Accomack County","222","33,413","33,538","662"
51003,"Albemarle County","294","112,395","112,367","262"
51005,"Alleghany County","137","15,223","15,360","892"
51007,"Amelia County","85","13,265","13,350","637"
51009,"Amherst County","218","31,307","31,089","701"
51011,"Appomattox County","115","16,119","16,234","708"
51013,"Arlington County","166","238,643","238,714","70"
51015,"Augusta County","514","77,487","76,264","674"
51017,"Bath County","16","4,209","4,225","379"
51019,"Bedford County","326","79,462","79,717","409"
51021,"Bland County","22","6,270","5,766","382"
51023,"Botetourt County","122","33,596","33,613","363"
51025,"Brunswick County","170","15,849","14,572","1,167"
51027,"Buchanan County","248","20,355","19,903","1,246"
51029,"Buckingham County","135","16,824","15,485","872"
51031,"Campbell County","388","55,696","55,844","695"
51033,"Caroline County","217","30,887","31,000","700"
51035,"Carroll County","192","29,155","29,347","654"
51036,"Charles City County","51","6,773","6,824","747"
51037,"Charlotte County","95","11,529","11,561","822"
51041,"Chesterfield County","1,191","364,548","365,306","326"
51043,"Clarke County","24","14,783","14,807","162"
51045,"Craig County","13","4,892","4,905","265"
51047,"Culpeper County","302","52,552","52,143","579"
51049,"Cumberland County","65","9,675","9,740","667"
51051,"Dickenson County","159","14,124","14,041","1,132"
51053,"Dinwiddie County","203","27,947","28,150","721"
51057,"Essex County","93","10,599","10,692","870"
51059,"Fairfax County","921","1,150,309","1,150,865","80"
51061,"Fauquier County","191","72,972","73,138","261"
51063,"Floyd County","84","15,476","15,560","540"
51065,"Fluvanna County","99","27,249","26,508","373"
51067,"Franklin County","313","54,477","54,750","572"
51069,"Frederick County","204","91,419","91,417","223"
51071,"Giles County","128","16,787","16,915","757"
51073,"Gloucester County","251","38,711","38,937","645"
51075,"Goochland County","61","24,727","24,149","253"
51077,"Grayson County","102","15,333","14,787","690"
51079,"Greene County","95","20,552","20,647","460"
51081,"Greensville County","88","11,391","9,025","975"
51083,"Halifax County","335","34,022","34,032","984"
51085,"Hanover County","295","109,979","109,991","268"
51087,"Henrico County","1,792","334,389","335,130","535"
51089,"Henry County","551","50,948","51,250","1,075"
51091,"Highland County","3","2,232","2,235","134"
51093,"Isle of Wight County","189","38,606","38,795","487"
51095,"James City County","273","78,254","78,527","348"
51097,"King and Queen County","42","6,608","6,650","632"
51099,"King George County","144","26,723","26,867","536"
51101,"King William County","81","17,810","17,891","453"
51103,"Lancaster County","61","10,919","10,962","556"
51105,"Lee County","259","22,173","22,432","1,155"
51107,"Loudoun County","351","420,959","421,129","83"
51109,"Louisa County","233","37,596","37,829","616"
51111,"Lunenburg County","93","11,936","11,280","824"
51113,"Madison County","71","13,837","13,908","511"
51115,"Mathews County","57","8,533","8,590","664"
51117,"Mecklenburg County","326","30,319","30,315","1,075"
51119,"Middlesex County","59","10,625","10,533","560"
51121,"Montgomery County","332","99,721","99,996","332"
51125,"Nelson County","92","14,775","14,867","619"
51127,"New Kent County","73","22,945","23,018","317"
51131,"Northampton County","103","12,282","12,324","836"
51133,"Northumberland County","52","11,839","11,891","437"
51135,"Nottoway County","148","15,642","14,592","1,014"
51137,"Orange County","217","36,254","36,120","601"
51139,"Page County","235","23,709","23,892","984"
51141,"Patrick County","143","17,608","17,639","811"
51143,"Pittsylvania County","473","60,501","60,170","786"
51145,"Powhatan County","66","30,333","29,626","223"
51147,"Prince Edward County","132","21,849","21,727","608"
51149,"Prince George County","135","43,010","42,154","320"
51153,"Prince William County","964","482,204","482,691","200"
51155,"Pulaski County","367","33,800","33,439","1,098"
51157,"Rappahannock County","25","7,348","7,373","339"
51159,"Richmond County","50","8,923","7,900","633"
51161,"Roanoke County","317","96,929","96,555","328"
51163,"Rockbridge County","188","22,650","22,738","827"
51165,"Rockingham County","425","83,757","84,182","505"
51167,"Russell County","266","25,781","26,047","1,021"
51169,"Scott County","131","21,576","21,245","617"
51171,"Shenandoah County","207","44,186","44,393","466"
51173,"Smyth County","303","29,800","29,939","1,012"
51175,"Southampton County","151","17,996","17,144","881"
51177,"Spotsylvania County","676","140,032","140,708","480"
51179,"Stafford County","620","156,927","156,479","396"
51181,"Surry County","41","6,561","6,602","621"
51183,"Sussex County","75","10,829","9,366","801"
51185,"Tazewell County","442","40,429","39,991","1,105"
51187,"Warren County","207","40,727","40,572","510"
51191,"Washington County","406","53,935","53,690","756"
51193,"Westmoreland County","154","18,477","18,631","827"
51195,"Wise County","324","36,130","35,086","923"
51197,"Wythe County","233","28,290","28,523","817"
51199,"York County","160","70,045","70,205","228"
51510,"Alexandria city","224","159,467","159,558","140"
51520,"Bristol city","230","17,219","17,379","1,323"
51530,"Buena Vista city","56","6,641","6,697","836"
51540,"Charlottesville city","237","46,553","46,790","507"
51550,"Chesapeake city","1,516","249,422","248,285","611"
51570,"Colonial Heights city","77","18,170","18,247","422"
51580,"Covington city","89","5,737","5,767","1,543"
51590,"Danville city","674","42,590","43,000","1,567"
51595,"Emporia city","87","5,766","5,853","1,486"
51600,"Fairfax city","33","24,146","24,179","136"
51610,"Falls Church city","4","14,658","14,662","27"
51620,"Franklin city","131","8,180","8,311","1,576"
51630,"Fredericksburg city","239","27,982","28,221","847"
51640,"Galax city","73","6,720","6,793","1,075"
51650,"Hampton city","1,017","137,148","137,951","737"
51660,"Harrisonburg city","332","51,814","51,939","639"
51670,"Hopewell city","314","23,033","23,347","1,345"
51678,"Lexington city","15","7,320","7,335","205"
51680,"Lynchburg city","643","79,009","79,307","811"
51683,"Manassas city","144","42,772","42,916","336"
51685,"Manassas Park city","42","17,219","17,261","243"
51690,"Martinsville city","243","13,485","13,602","1,787"
51700,"Newport News city","1,319","186,247","187,214","705"
51710,"Norfolk city","2,653","238,005","239,956","1,106"
51720,"Norton city","47","3,687","3,734","1,259"
51730,"Petersburg city","555","33,458","34,013","1,632"
51735,"Poquoson city","26","12,460","12,486","208"
51740,"Portsmouth city","1,298","97,915","98,152","1,322"
51750,"Radford city","80","16,070","16,150","495"
51760,"Richmond city","2,496","226,610","228,501","1,092"
51770,"Roanoke city","1,045","100,011","100,680","1,038"
51775,"Salem city","121","25,346","25,360","477"
51790,"Staunton city","246","25,750","25,996","946"
51800,"Suffolk city","797","94,324","94,494","843"
51810,"Virginia Beach city","1,823","459,470","460,278","396"
51820,"Waynesboro city","242","22,196","22,438","1,079"
51830,"Williamsburg city","64","15,425","15,150","422"
51840,"Winchester city","155","28,120","28,275","548"
