"FIPS code, 2020","Virginia census tracts","Number of people in state prison or a local jail from each census tract, 2020","Census population, 2020","Total population, 2020","Incarceration rate per 100,000"
51001090101,"Accomack County, Census Tract 901.01",4,"1,799","1,803","222"
51001090102,"Accomack County, Census Tract 901.02",8,"1,545","1,553","515"
51001090201,"Accomack County, Census Tract 902.01",10,"3,990","4,000","250"
51001090202,"Accomack County, Census Tract 902.02",22,"3,046","3,068","717"
51001090300,"Accomack County, Census Tract 903",17,"2,093","2,110","806"
51001090401,"Accomack County, Census Tract 904.01",19,"2,455","2,474","768"
51001090402,"Accomack County, Census Tract 904.02",29,"3,281","3,213","903"
51001090500,"Accomack County, Census Tract 905",25,"2,721","2,746","910"
51001090600,"Accomack County, Census Tract 906",26,"3,900","3,926","662"
51001090700,"Accomack County, Census Tract 907",40,"5,220","5,260","760"
51001090800,"Accomack County, Census Tract 908",22,"3,362","3,384","650"
51001980100,"Accomack County, Census Tract 9801",0,"1","1","0"
51001980200,"Accomack County, Census Tract 9802",0,"0","0","0"
51001990100,"Accomack County, Census Tract 9901",0,"0","0","0"
51001990200,"Accomack County, Census Tract 9902",0,"0","0","0"
51003010100,"Albemarle County, Census Tract 101",9,"5,147","5,156","175"
51003010201,"Albemarle County, Census Tract 102.01",10,"5,550","5,560","180"
51003010202,"Albemarle County, Census Tract 102.02",2,"3,238","3,240","62"
51003010301,"Albemarle County, Census Tract 103.01",4,"1,939","1,943","206"
51003010302,"Albemarle County, Census Tract 103.02",1,"1,450","1,451","69"
51003010303,"Albemarle County, Census Tract 103.03",2,"5,685","5,687","35"
51003010401,"Albemarle County, Census Tract 104.01",14,"4,201","4,215","332"
51003010402,"Albemarle County, Census Tract 104.02",5,"3,605","3,610","139"
51003010501,"Albemarle County, Census Tract 105.01",2,"3,004","3,006","67"
51003010502,"Albemarle County, Census Tract 105.02",7,"3,371","3,378","207"
51003010602,"Albemarle County, Census Tract 106.02",10,"4,409","4,419","226"
51003010603,"Albemarle County, Census Tract 106.03",4,"2,391","2,395","167"
51003010604,"Albemarle County, Census Tract 106.04",14,"4,029","4,043","346"
51003010701,"Albemarle County, Census Tract 107.01",20,"2,862","2,882","694"
51003010702,"Albemarle County, Census Tract 107.02",27,"3,763","3,790","712"
51003010801,"Albemarle County, Census Tract 108.01",17,"3,598","3,615","470"
51003010802,"Albemarle County, Census Tract 108.02",15,"2,404","2,419","620"
51003010901,"Albemarle County, Census Tract 109.01",1,"1,746","1,747","57"
51003010904,"Albemarle County, Census Tract 109.04",2,"6,163","6,165","32"
51003011000,"Albemarle County, Census Tract 110",8,"6,612","6,620","121"
51003011101,"Albemarle County, Census Tract 111.01",3,"2,884","2,887","104"
51003011102,"Albemarle County, Census Tract 111.02",5,"3,286","3,291","152"
51003011103,"Albemarle County, Census Tract 111.03",7,"4,608","4,615","152"
51003011201,"Albemarle County, Census Tract 112.01",20,"4,208","4,228","473"
51003011202,"Albemarle County, Census Tract 112.02",4,"4,043","4,047","99"
51003011301,"Albemarle County, Census Tract 113.01",29,"5,127","5,156","562"
51003011302,"Albemarle County, Census Tract 113.02",19,"5,151","5,170","368"
51003011303,"Albemarle County, Census Tract 113.03",13,"3,791","3,482","373"
51003011400,"Albemarle County, Census Tract 114",20,"4,130","4,150","482"
51005070100,"Alleghany County, Census Tract 701",45,"3,662","3,707","1,214"
51005080100,"Alleghany County, Census Tract 801",32,"3,198","3,230","991"
51005080201,"Alleghany County, Census Tract 802.01",18,"2,790","2,808","641"
51005080202,"Alleghany County, Census Tract 802.02",22,"2,381","2,403","916"
51005080301,"Alleghany County, Census Tract 803.01",9,"1,854","1,863","483"
51005080302,"Alleghany County, Census Tract 803.02",11,"1,338","1,349","815"
51007930101,"Amelia County, Census Tract 9301.01",17,"2,634","2,651","641"
51007930102,"Amelia County, Census Tract 9301.02",25,"4,475","4,500","556"
51007930200,"Amelia County, Census Tract 9302",43,"6,156","6,199","694"
51009010100,"Amherst County, Census Tract 101",27,"5,103","5,130","526"
51009010201,"Amherst County, Census Tract 102.01",21,"4,398","4,419","475"
51009010202,"Amherst County, Census Tract 102.02",12,"2,223","2,235","537"
51009010300,"Amherst County, Census Tract 103",23,"3,638","3,661","628"
51009010401,"Amherst County, Census Tract 104.01",34,"3,356","3,390","1,003"
51009010402,"Amherst County, Census Tract 104.02",10,"3,089","3,099","323"
51009010504,"Amherst County, Census Tract 105.04",25,"4,183","4,208","594"
51009010505,"Amherst County, Census Tract 105.05",24,"1,045","1,069","2,245"
51009010506,"Amherst County, Census Tract 105.06",15,"1,585","1,600","938"
51009010600,"Amherst County, Census Tract 106",27,"2,687","2,278","1,185"
51011040101,"Appomattox County, Census Tract 401.01",12,"3,683","3,695","325"
51011040102,"Appomattox County, Census Tract 401.02",27,"3,524","3,551","760"
51011040200,"Appomattox County, Census Tract 402",31,"4,535","4,566","679"
51011040300,"Appomattox County, Census Tract 403",45,"4,377","4,422","1,018"
51013100100,"Arlington County, Census Tract 1001",2,"5,125","5,127","39"
51013100200,"Arlington County, Census Tract 1002",0,"6,660","6,660","0"
51013100300,"Arlington County, Census Tract 1003",0,"6,199","6,199","0"
51013100400,"Arlington County, Census Tract 1004",0,"3,780","3,780","0"
51013100500,"Arlington County, Census Tract 1005",0,"5,029","5,029","0"
51013100600,"Arlington County, Census Tract 1006",0,"3,285","3,285","0"
51013100700,"Arlington County, Census Tract 1007",3,"5,827","5,830","51"
51013100800,"Arlington County, Census Tract 1008",0,"1,596","1,596","0"
51013100900,"Arlington County, Census Tract 1009",2,"4,406","4,408","45"
51013101000,"Arlington County, Census Tract 1010",1,"3,319","3,320","30"
51013101100,"Arlington County, Census Tract 1011",0,"5,948","5,948","0"
51013101200,"Arlington County, Census Tract 1012",4,"3,897","3,901","103"
51013101300,"Arlington County, Census Tract 1013",3,"6,940","6,943","43"
51013101401,"Arlington County, Census Tract 1014.01",0,"1,938","1,938","0"
51013101402,"Arlington County, Census Tract 1014.02",0,"2,878","2,878","0"
